Gen,hypercube0,hypercube1,hypercube2,hypercube3
369,1.68E-06,0.02359414,0.113589836,0.018603402
370,5.12E-07,0.02359414,0.111870002,0.017654782
371,1.68E-06,0.024325835,0.108922911,0.017145825
372,5.12E-07,0.023181067,0.108180977,0.017272101
373,5.12E-07,0.022827715,0.108180977,0.016724172
374,1.68E-06,0.022827715,0.107239164,0.016724172
375,2.07E-07,0.022827715,0.106552432,0.016724172
376,2.07E-07,0.022414642,0.106106784,0.016724172
377,2.07E-07,0.021427859,0.102843348,0.015315824
378,2.07E-07,0.021014787,0.102690577,0.015805153
379,2.07E-07,0.021014787,0.102353728,0.015315824
380,2.07E-07,0.01982397,0.100544535,0.015139729
381,2.07E-07,0.019149462,0.100391764,0.014768698
382,2.07E-07,0.019149462,0.099419282,0.014430441
383,2.07E-07,0.019149462,0.098675156,0.014337741
384,2.07E-07,0.017958646,0.096376344,0.014337741
385,2.07E-07,0.017958646,0.096376344,0.014335132
386,2.07E-07,0.017958646,0.096376344,0.013314416
387,2.07E-07,0.017955831,0.096376344,0.012569122
388,2.07E-07,0.017169878,0.09404658,0.012569122
389,2.07E-07,0.017169878,0.09404658,0.012473813
390,2.07E-07,0.017120841,0.09404658,0.012011889
391,2.07E-07,0.017118027,0.09404658,0.012011889
392,2.07E-07,0.016329259,0.093704947,0.010632671
393,2.07E-07,0.015265089,0.092478938,0.010537362
394,2.07E-07,0.015265089,0.092478938,0.010545376
395,2.07E-07,0.014476321,0.091375183,0.010537362
396,2.07E-07,0.014476321,0.088191388,0.010296929
397,1.85E-07,0.014473506,0.089807541,0.010203506
398,8.34E-08,0.014473506,0.088191388,0.008828177
399,8.34E-08,0.014473506,0.086524226,0.008735478
400,6.19E-08,0.014473506,0.083058297,0.008640169
401,6.19E-08,0.01323836,0.084865562,0.010026683
402,6.19E-08,0.01323836,0.083198401,0.008391722
403,6.19E-08,0.01323836,0.081911424,0.008391722
404,6.19E-08,0.012360417,0.08262384,0.008391722
405,6.19E-08,0.012360417,0.081391136,0.008391722
406,6.19E-08,0.012363232,0.080524009,0.008389695
407,6.19E-08,0.011114153,0.078716744,0.007268813
408,6.19E-08,0.010809453,0.078716744,0.007268813
409,6.19E-08,0.010673269,0.078716744,0.006886847
410,6.19E-08,0.010673269,0.0765805,0.006730187
411,6.19E-08,0.010673269,0.078716744,0.006794147
412,6.19E-08,0.009723695,0.074639094,0.006794147
